"","district_code","objectid","district_name","6_14_yrs_out_of_school","6_14_yrs_in_private_school","std_1_2_who_can_read_letters_word_more","std_1_2_who_can_recognize_no.s_or_more","std_3_5_who_can_do_subtraction_or_more","std_3_5_who_can_do_read_std1_texts_or_more","single_classroom_primary_schl","single_teacher_primary_schl","primary_school_with_girls_toilet","primary_school_with_boys_toilet","primary_school_with_Drinking_water_facility","gov_primary_school_providing_midDay_meal","gov_primary_school_with_school_managment_committee","TransitionRate_primary_to_UpperPrimary","Retension_Rate_primaryLevel","pupil_teacher_ratio_at_primary_level","pupil_teacher_ratio_at_upper_primary_level","sc_enrollments_in_primary_school","sc_girls_enrollments_in_primary_school","st_enrollment_in_primary_school","st_girls_enrollment_in_primary_school","year","globalid","st_areashape","st_lengthshape","Table.Name","State.Code","Area.Name","Total..Rural..Urban","Age.group","Total.Population...Persons","Total.Population...Males","Total.Population...Females","Educational.level...Graduate.and.above...Persons","Educational.level...Graduate.and.above...Males","Educational.level...Graduate.and.above...Females","Educational.level...Graduate.degree.other.than.technical.degree...Persons","Educational.level...Graduate.degree.other.than.technical.degree...Males","Educational.level...Graduate.degree.other.than.technical.degree...Females","Educational.level...Post.graduate.degree.other.than.technical.degree...Persons","Educational.level...Post.graduate.degree.other.than.technical.degree...Males","Educational.level...Post.graduate.degree.other.than.technical.degree...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Engineering.and.technology...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Engineering.and.technology...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Engineering.and.technology...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Medicine...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Medicine...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Medicine...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Agriculture.and.dairying...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Agriculture.and.dairying...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Agriculture.and.dairying...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Veterinary...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Veterinary...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Veterinary...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Teaching...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Teaching...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Teaching...Females","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Others...Persons","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Others...Males","Educational.level...Technical.degree.or.diploma.equal.to.degree.or.post.graduate.degree...Others...Females"
"409",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Rural","Total",154207,76125,78082,825,612,213,699,523,176,82,52,30,19,18,1,8,8,0,0,0,0,0,0,0,17,11,6,0,0,0
"410",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Rural","15-19",19971,10259,9712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"411",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Rural","20-24",19391,8884,10507,172,110,62,154,100,54,7,3,4,7,6,1,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0
"412",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Rural","25-29",19092,9559,9533,193,131,62,173,117,56,11,6,5,5,5,0,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0
"413",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Rural","30-34",16775,8268,8507,119,86,33,99,72,27,15,9,6,0,0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0
"414",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Total","Total",156655,77354,79301,1005,722,283,835,613,222,100,59,41,27,25,2,13,10,3,0,0,0,0,0,0,30,15,15,0,0,0
"415",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Total","15-19",20370,10465,9905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Total","20-24",19721,9046,10675,192,118,74,174,108,66,7,3,4,7,6,1,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0
"417",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Total","25-29",19362,9691,9671,213,143,70,186,125,61,13,6,7,9,8,1,1,1,0,0,0,0,0,0,0,4,3,1,0,0,0
"418",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Total","30-34",17032,8396,8636,164,110,54,130,90,40,23,12,11,3,3,0,2,2,0,0,0,0,0,0,0,6,3,3,0,0,0
"419",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Total","35-59",59547,30015,29532,390,314,76,309,261,48,52,34,18,6,6,0,10,7,3,0,0,0,0,0,0,13,6,7,0,0,0
"420",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Total","60+",19278,9050,10228,37,30,7,30,25,5,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
"421",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Total","Age not stated",1345,691,654,9,7,2,6,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Urban","35-59",915,460,455,89,62,27,68,53,15,7,3,4,1,1,0,5,2,3,0,0,0,0,0,0,8,3,5,0,0,0
"423",363,1,"Jamtara",3.5,6.9,70.7,77.5,37.6,38.2,2.2,25.1,62.65,68,97.8,99.2,78.7,79.3,54.3,32,42,10.4,48.2,33.3,48.5,"2012-13","{A4D05BAD-A88A-4B89-8532-3216D0C0C10C}",2353757567.30734,339735.191757862,"C2808STA",20,"District - Jamtara","Urban","60+",248,123,125,5,3,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
